"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Atualizar Contato","Editar telefone de contato completo","0","1","0","0","0"
"","Atualizar Contato","Adicionar e-mail a contato com apenas nome","0","1","0","0","0"
"","Criação de Contato","Alterar tipo de telefone e verificar label","0","3","0","0","0"
"","Home Empty","Verificar elementos da tela inicial vazia","0","1","0","0","0"
"","Atualizar Contato","Editar nome de contato completo","0","1","0","0","0"
"","Criação de Contato","Alterar tipo de e-mail e verificar label","0","3","0","0","0"
"","Criação de Contato","Criar contato com todos os campos preenchidos","0","1","0","0","0"
"","Criação de Contato","Criar contato com dados parciais","0","3","0","0","0"
"","Criação de Contato","Cancelar criação com formulário vazio","0","1","0","0","0"
"","Atualizar Contato","Adicionar nome a contato com apenas e-mail","0","1","0","0","0"
"","Delete Contact","Excluir contato da tela de detalhes com cancelamento","0","1","0","0","0"
"","Atualizar Contato","Adicionar nome a contato com apenas telefone","0","1","0","0","0"
"","Criação de Contato","Cancelar criação com campos preenchidos","0","1","0","0","0"
"","Atualizar Contato","Adicionar telefone a contato com apenas nome","0","1","0","0","0"
"","Delete Contact","Confirmar exclusão de contato","0","1","0","0","0"
"","Delete Contact","Ícone de lixeira não visível sem seleção","0","1","0","0","0"
"","Delete Contact","Cancelar exclusão de contato","0","1","0","0","0"
"","Criação de Contato","Criar contato com formulário vazio falha","0","1","0","0","0"
"","Delete Contact","Excluir contato da tela de detalhes com confirmação","0","1","0","0","0"
"","Atualizar Contato","Adicionar sobrenome a contato existente","0","1","0","0","0"
"","Criação de Contato","Verificar foco no campo nome","0","1","0","0","0"
"","Delete Contact","Desmarcar seleção e cancelar modo de seleção múltipla","0","1","0","0","0"
"","Criação de Contato","Validar placeholders da tela de criação","0","1","0","0","0"
"","Delete Contact","Menu de opções na tela de detalhes","0","1","0","0","0"
"","Delete Contact","Atualizar contador de seleção","0","1","0","0","0"
"","Delete Contact","Selecionar e excluir múltiplos contatos em lote","0","1","0","0","0"
"","Atualizar Contato","Editar sobrenome de contato completo","0","1","0","0","0"
